运单编号,签收省份,重量,价格
400979765920,江苏省,0.2,3.7
400974391436,浙江省,0.2,3.7
401961184624,重庆,0.05,5.6
401954854070,四川省,0.05,5.6
400979792788,浙江省,0.75,3.7
401956320833,四川省,0.05,5.6
400984098540,安徽省,0.2,3.7
401980922870,重庆,0.1,5.6
401937352615,贵州省,0.1,5.6
401938551181,四川省,0.15,5.6
401982972782,上海,0.05,3.7
400988142986,江苏省,0.2,3.7
401936316914,上海,0.05,3.7
401114675087,浙江省,0.2,3.7
401123081261,江苏省,0.2,3.7
400986790086,重庆,0.2,5.6
401101469436,浙江省,0.4,3.7
401117258977,浙江省,0.35,3.7
401124408359,江苏省,0.6,3.7
401021474651,上海,0.2,3.7
401103367937,浙江省,0.55,3.7
401097512566,江苏省,0.8,3.7
400937492534,上海,0.2,3.7
401068584382,江苏省,0.2,3.7
400983566436,重庆,0.2,5.6
401112489048,浙江省,0.2,3.7
401111581162,江苏省,0.4,3.7
401002618787,四川省,0.2,5.6
401124408428,江苏省,0.75,3.7
400922270639,上海,0.2,3.7
401095657607,浙江省,0.35,3.7
400929261550,重庆,0.2,5.6
401058796751,江苏省,0.35,3.7
400913427087,重庆,0.2,5.6
400940817577,陕西省,0.2,5.6
401061199036,浙江省,0.2,3.7
401073528346,江苏省,0.7,3.7
401112549509,浙江省,0.75,3.7
401067242514,浙江省,0.2,3.7
401112489036,江苏省,0.3,3.7
400977639553,上海,0.2,3.7
400992417941,四川省,0.2,5.6
400920919276,江苏省,0.3,3.7
401107297112,上海,0.2,3.7
401068691932,四川省,0.2,5.6
400918763923,上海,0.2,3.7
401100594436,四川省,0.2,5.6
400922508360,云南省,0.2,5.6
400935589255,上海,0.2,3.7
400941999375,浙江省,0.55,3.7
400921152347,江苏省,0.8,3.7
400935589223,四川省,0.2,5.6
400922508407,江苏省,0.2,3.7
400912865375,安徽省,0.3,3.7
400954837381,江苏省,0.85,3.7
400944597771,江苏省,0.45,3.7
400931010926,江苏省,0.2,3.7
400952483380,四川省,0.2,5.6
400986077102,江苏省,0.6,3.7
757195930037,宁夏回族自治区,0.05,8.2
757193007482,江西省,0.1,5.2
400981180471,江苏省,0.3,3.7
400992417959,四川省,0.2,5.6
400979765890,陕西省,0.2,5.6
400920319734,广东省,0.2,5.2
401017436276,陕西省,0.2,5.6
401026343484,江苏省,0.2,3.7
401007850973,浙江省,0.25,3.7
400984125909,江苏省,0.35,3.7
401018778115,四川省,0.2,5.6
757193007440,陕西省,0.2,5.6
401004127485,上海,0.2,3.7
400954837429,江苏省,0.2,3.7
401011804297,江苏省,0.2,3.7
400931010883,安徽省,1.05,4.7
400973353516,浙江省,0.25,3.7
401024625397,江苏省,0.2,3.7
400954837404,浙江省,0.6,3.7
400920319741,陕西省,0.2,5.6
401092511171,上海,0.2,3.7
400954837399,浙江省,0.8,3.7
401104483671,上海,0.2,3.7
400915504118,陕西省,0.2,5.6
401034729715,浙江省,0.2,3.7
401026343460,浙江省,0.4,3.7
757193007297,浙江省,1.05,4.7
400955868576,江苏省,1.05,4.7
400899829865,上海,0.2,3.7
401119160529,安徽省,0.45,3.7
400986790116,上海,0.2,3.7
400918602146,陕西省,0.2,5.6
400918602180,陕西省,0.2,5.6
401100142435,上海,0.2,3.7
401066995230,浙江省,0.6,3.7
401072169531,江苏省,0.75,3.7
400954837411,湖北省,0.2,5.2
400945502201,上海,0.2,3.7
401061198999,浙江省,0.2,3.7
401073528291,浙江省,0.6,3.7
400978124060,云南省,0.2,5.6
401112915264,浙江省,0.55,3.7
401032178341,贵州省,0.2,5.6
401094774841,安徽省,0.2,3.7
400952483410,上海,0.2,3.7
400986402852,云南省,0.2,5.6
401327772050,浙江省,1.05,4.7
401094774834,贵州省,0.2,5.6
401107297029,湖南省,0.2,5.2
401072169618,浙江省,0.4,3.7
401094774772,浙江省,0.25,3.7
401092511164,安徽省,0.25,3.7
401075056903,江苏省,0.55,3.7
757195930352,浙江省,1.05,4.7
400918121167,浙江省,0.2,3.7
400929777293,浙江省,0.5,3.7
401112489055,湖南省,0.2,5.2
400922270646,江苏省,0.2,3.7
401117258960,云南省,0.2,5.6
400918121128,安徽省,0.4,3.7
400921152354,浙江省,0.2,3.7
400944597833,安徽省,0.85,3.7
401122974403,四川省,0.2,5.6
400992417966,上海,0.2,3.7
401094774797,上海,0.2,3.7
400946519196,浙江省,0.4,3.7
401069802219,上海,0.2,3.7
401115947045,四川省,0.2,5.6
400944597819,浙江省,0.7,3.7
400922961917,浙江省,0.35,3.7
400936197119,安徽省,0.2,3.7
400921152393,云南省,0.2,5.6
400942589833,江苏省,0.2,3.7
400922508391,江苏省,0.35,3.7
400942589819,江苏省,0.45,3.7
400922508377,江苏省,0.2,3.7
400924561707,安徽省,0.2,3.7
401034729722,贵州省,0.2,5.6
400952905845,江苏省,0.2,3.7
400955868588,浙江省,0.2,3.7
400979463883,浙江省,0.3,3.7
400981180464,四川省,0.2,5.6
400984125879,贵州省,0.2,5.6
400986402884,陕西省,0.2,5.6
401034729761,江苏省,0.2,3.7
401068584375,陕西省,0.2,5.6
401022138744,浙江省,0.2,3.7
400974391411,浙江省,0.2,3.7
400941999405,湖南省,0.2,5.2
400986077058,浙江省,0.4,3.7
401075056967,陕西省,0.2,5.6
400979792749,江苏省,0.2,3.7
401022293151,江苏省,0.2,3.7
400952483402,江苏省,0.2,3.7
400912865382,浙江省,0.6,3.7
400936436517,上海,0.2,3.7
401101469416,四川省,0.2,5.6
400981180425,浙江省,0.8,3.7
401102161980,贵州省,0.2,5.6
757195930362,浙江省,1.05,4.7
400930376604,四川省,0.2,5.6
401026343491,上海,0.2,3.7
400986402860,浙江省,0.7,3.7
401026343477,四川省,0.2,5.6
400984098564,安徽省,0.2,3.7
401024625358,安徽省,0.85,3.7
401022138776,上海,0.2,3.7
401112549516,江苏省,0.25,3.7
401092511157,江苏省,0.2,3.7
400976816809,陕西省,0.2,5.6
400935589186,上海,0.2,3.7
401063106049,江苏省,0.2,3.7
401058796682,江苏省,0.4,3.7
401101724002,重庆,0.2,5.6
401125370216,四川省,0.2,5.6
401057679646,江苏省,0.2,3.7
401110157693,贵州省,0.2,5.6
401102857503,浙江省,0.2,3.7
401063106063,陕西省,0.2,5.6
401075846839,浙江省,0.55,3.7
400899267888,上海,0.2,3.7
401090382219,浙江省,0.2,3.7
401100142428,上海,0.2,3.7
401075056928,重庆,0.2,5.6
400942474569,北京,0.2,5.2
401094774802,浙江省,0.5,3.7
400916045962,重庆,0.2,5.6
401117258984,江苏省,0.2,3.7
401124408416,浙江省,0.85,3.7
400916046000,上海,0.2,3.7
401034446290,天津,0.2,5.2
400937492502,四川省,0.2,5.6
401119160568,江苏省,0.2,3.7
400929261528,浙江省,0.5,3.7
400930750777,陕西省,0.2,5.6
401012838299,上海,0.2,3.7
400984755178,陕西省,0.2,5.6
401002618755,上海,0.2,3.7
400977639521,陕西省,0.2,5.6
400931943198,浙江省,0.25,3.7
400918602210,浙江省,0.2,3.7
400930750784,安徽省,0.25,3.7
400983795010,陕西省,0.2,5.6
401058796744,陕西省,0.2,5.6
400930376656,浙江省,0.5,3.7
401061199043,重庆,0.2,5.6
400930376599,江苏省,0.55,3.7
400915504164,江苏省,0.25,3.7
401107297075,重庆,0.2,5.6
400918121211,浙江省,0.25,3.7
400915504171,浙江省,0.2,3.7
400946061127,四川省,0.2,5.6
400989815955,安徽省,0.65,3.7
400979463876,安徽省,0.2,3.7
400978567026,江苏省,0.3,3.7
400977891245,上海,0.2,3.7
401034922780,重庆,0.2,5.6
401018778108,安徽省,0.65,3.7
400978567006,陕西省,0.2,5.6
401026343413,四川省,0.2,5.6
400955868494,四川省,0.2,5.6
401034503096,浙江省,0.25,3.7
400974391404,四川省,0.2,5.6
400954837436,江苏省,0.2,3.7
400984755222,江苏省,0.25,3.7
400978124077,江苏省,0.2,3.7
400986790098,江苏省,0.2,3.7
