运单编号,目的地,计费重量,总运费,备注
3307561923509,湖北省,0.2,6.3,
3307536370284,广东省,0.25,6.3,
3307463268782,北京,0.2,6.3,
3307536370272,甘肃省,0.34,6.3,
3307536370265,内蒙古自治区,0.4,6.3,
3307536370259,北京,1.14,7.56,
3307536370247,湖南省,0.25,6.3,
3307561923431,广东省,0.5,6.3,
3307561923515,江苏省,0.56,4,
3307536370296,湖南省,0.3,6.3,
3307561923492,广西壮族自治区,0.6,6.3,
3307561923485,河北省,0.4,6.3,
3307536370235,河北省,0.45,6.3,
3307536370223,天津,0.2,6.3,
3307561923420,山东省,0.45,6.3,
3307506908009,海南省,0.35,6.3,
3307506907995,新疆维吾尔自治区,0.29,6.3,
3307506907983,北京,0.2,6.3,
3307506907971,天津,0.25,6.3,
3307536926605,广东省,0.4,6.3,
3307536926629,湖南省,0.6,6.3,
3307536926635,河北省,0.5,6.3,
3307538367715,山东省,0.2,6.3,
3307538367727,广东省,0.4,6.3,
3307538367739,黑龙江省,0.2,6.3,
3307538367745,江苏省,0.2,4,
3307538367752,河南省,0.65,6.3,
3307538367764,福建省,0.6,6.3,
3307536370302,广东省,0.85,6.3,
3307506994227,河南省,0.45,6.3,
3307506994239,江苏省,0.2,4,
3307536926599,山西省,0.2,6.3,
3307506994252,广东省,0.25,6.3,
3307506994264,江西省,0.4,6.3,
3307506994276,江苏省,0.35,4,
3307536926587,山东省,0.5,6.3,
3307536370314,山东省,0.2,6.3,
3307536926617,江苏省,0.2,4,
3307463272392,河南省,0.2,6.3,
3307463907611,山东省,0.35,6.3,
3307463907600,吉林省,0.9,6.3,
3307463907593,河南省,0.62,6.3,
3307463272446,天津,0.2,6.3,
3307463272434,广东省,0.56,6.3,
3307463272422,河北省,0.3,6.3,
3307463272415,广东省,0.25,6.3,
3307463272409,陕西省,0.2,6.3,
3307463907623,广东省,0.65,6.3,
3307463268873,广东省,0.45,6.3,
3307463268861,广东省,0.2,6.3,
3307463268850,湖北省,0.2,6.3,
3307463268848,福建省,0.3,6.3,
3307463268836,湖北省,0.25,6.3,
3307463268824,河南省,0.79,6.3,
3307463268812,江西省,0.26,6.3,
3307463268805,福建省,0.75,6.3,
3307463268794,广东省,0.9,6.3,
3307506907960,北京,0.55,6.3,
3307561923455,福建省,0.72,6.3,
3307561923467,河南省,0.2,6.3,
3307463907635,广东省,0.6,6.3,
3307561923479,北京,0.45,6.3,
3307506907958,新疆维吾尔自治区,0.4,6.3,
3307561923443,湖北省,0.25,6.3,
3307463907684,河南省,0.2,6.3,
3307463907672,福建省,0.4,6.3,
3307463907665,广东省,0.55,6.3,
3307463907659,山东省,1,6.3,
3307463907647,湖北省,0.5,6.3,
3307568818314,河南省,0.6,6.3,
3307568818326,山东省,0.35,6.3,
3307568818284,河北省,0.2,6.3,
3307568818302,北京,0.45,6.3,
3307568818296,河北省,0.2,6.3,
3307568818272,天津,0.45,6.3,
3307567684706,河北省,0.74,6.3,
3307567684690,福建省,0.43,6.3,
3307567684688,江苏省,0.24,4,
3307510421632,湖北省,0.5,6.3,
3307512023414,山西省,0.3,6.3,
3307512023402,江苏省,0.27,4,
3307512023396,广东省,0.2,6.3,
3307512023384,河北省,0.45,6.3,
3307512023372,北京,0.5,6.3,
3307512023426,福建省,1.2,7.56,
3307510421625,福建省,0.2,6.3,
3307510421619,北京,0.2,6.3,
3307510421607,广东省,0.25,6.3,
3307510421595,福建省,0.72,6.3,
3307510421589,辽宁省,0.2,6.3,
3307509716487,广东省,0.3,6.3,
3307513154152,湖北省,0.5,6.3,
3307513154097,河南省,0.94,6.3,
3307513154145,河南省,0.3,6.3,
3307513154139,内蒙古自治区,0.5,6.3,
3307513154127,新疆维吾尔自治区,0.3,6.3,
